period_start,n_observations,mean_radiance,mean_residual,median_residual,std_residual
2020-12-09,289,149.13563374978034,0.5368064814574554,3.6357410042639913,50.3138537460918
2020-12-10,301,137.77647292431803,-10.804795785592983,-4.184202993362817,61.48974192106293
2020-12-11,237,139.33935485067246,-9.226335064985765,-3.51479439582414,52.55137759843079
2020-12-12,211,144.17270577236374,-4.377194629622142,-4.16048138243724,56.49172417000104
2020-12-13,261,134.14907377396509,-14.3844635761411,-9.37127919521933,53.03325020481515
2020-12-14,219,152.4506632486979,3.9347898416877602,3.066337900458194,49.78104687602415
2020-12-15,312,145.52337212195764,-2.978910117377808,2.422067295879728,52.416590528303026
2020-12-16,278,127.77418102017408,-20.71223461564643,-11.277503176116639,52.432606879030025
2020-12-17,286,144.34686725323016,-4.1231727062521895,-1.4663132413671747,55.086564761713255
2020-12-18,244,140.12429521904616,-8.328321494683605,-6.016105951595279,57.80899591111045
2020-12-19,285,137.75579480622943,-10.681959037303749,-5.348749435114598,55.474899471863296
2020-12-20,304,148.48250430257696,0.06074200457453833,-0.42967932133610987,53.41961050304525
2020-12-21,311,147.82952440267974,-0.5757744492647172,0.5648590554703787,46.88857283457923
2020-12-22,129,128.2560845663381,-20.13412592661626,-11.830668073289786,47.748211741149916
2020-12-23,293,135.18084993850655,-13.19257143043743,-8.553016652676462,55.723277514356305
2020-12-24,261,140.43234413117742,-7.924775138654097,-4.618826751594639,54.90946894338926
2020-12-25,244,139.39328179281264,-8.94754691855975,-9.175740406146232,55.38513545405805
2020-12-26,263,133.2953740457165,-15.029898876781656,-8.509956408302344,55.20175362818817
2020-12-27,321,147.1362616232994,-1.173302093449265,1.307674161289384,50.03896097160463
2020-12-28,239,122.10724044225206,-26.185962924937574,-15.002626166802969,51.003685770683845
2020-12-29,304,140.3627871162013,-7.9145976174200054,-3.2317744990405117,52.57304198269627
2020-12-30,216,156.1984087202284,7.9371199743068415,11.491437097157899,52.648340418062446
2020-12-31,240,153.46609355926515,5.221848631146001,3.330810999418972,53.55852352948136
2021-01-01,45,152.55229702419703,4.316580748180268,5.304374466338288,56.63340797357084
2021-01-02,119,131.06181689350547,-17.147447253352915,-8.386017403969419,60.76121124510122
2021-01-03,264,144.97167129516603,-3.2250512951309687,-3.1575315446767576,50.34999816965236
2021-01-04,287,144.77045835701017,-3.410557287230964,-2.476457312428124,49.689901962839414
2021-01-05,228,146.63346688789233,-1.5321198929830142,-1.8103833466086883,52.53699806953932
2021-01-06,229,149.53954983507182,1.3908071616610447,2.124866052845448,49.39744588474327
2021-01-07,287,147.40211042344362,-0.7306515497237402,-1.7801820666902586,56.85878059862424
2021-01-08,179,135.5119710400118,-12.6043179508874,-2.423861582703097,63.034645336835574
2021-01-09,240,137.0939812596639,-11.00584312003927,-10.565015215620193,48.587512093413935
2021-01-10,284,149.3456696093922,1.2612435102822237,0.8855580601581892,51.40463716830316
2021-01-11,257,133.90320540253754,-14.165274427515836,-10.216805100757341,61.32952051247686
2021-01-12,237,138.31934137143165,-9.732374566497102,-7.578528286980941,53.03750250025186
2021-01-13,230,148.92346622632897,0.8870293532089849,5.498909520111269,50.2733048905295
2021-01-14,275,144.5469873046875,-3.473840414217667,-4.283768755808268,52.891908574324034
2021-01-15,267,140.8345589398445,-7.169875208648426,-9.485878681937265,73.70780876204543
2021-01-16,187,138.12099968405332,-9.868689906692966,-6.856200533898345,54.68403088633948
2021-01-17,114,155.35639581512987,7.379396956374436,2.9479911352865287,46.40537268129635
2021-01-18,267,136.3980733464273,-11.557688871201186,-10.090735947065326,49.97347924740846
2021-01-19,266,129.65511348408864,-18.28432865203169,-10.083180050778509,57.92283920114255
2021-01-20,274,155.04900119530896,7.125695180624153,4.966767301167934,50.937426904525786
2021-01-21,260,140.731227921706,-7.175909002811227,-2.2051253555833625,50.03489571692412
2021-01-22,251,139.61600069448767,-8.27487665005898,-4.159840904089776,55.266523436361844
2021-01-23,284,152.76200615251568,4.886542584754732,6.96778292854485,49.335111586878014
2021-01-24,197,131.0865655889366,-16.77323719487764,-7.382431867185602,62.01166943153156
2021-01-25,239,143.1760496769989,-4.668245559751666,1.1284564264741164,52.25533206140285
2021-01-26,14,104.9576147896903,-42.86269897621834,-28.908866534072203,54.218003878724076
2021-01-27,247,141.8716981957316,-5.9401669938607435,-6.033633082179591,48.82596814818561
2021-01-28,274,137.61573530879332,-10.179642606745627,-6.343651068873754,60.61131641756734
2021-01-29,198,136.0440680609809,-11.735300321335922,-9.59644331188801,50.8873436424698
2021-01-30,208,127.42404406620905,-20.338541109391983,-10.55593459779952,55.9305789578855
2021-01-31,286,152.6258063683143,4.878812240621229,7.746174874444989,49.69895541555879
2021-02-01,253,146.5256609045941,-1.204806067451106,0.576451401203343,55.22961059452587
2021-02-02,191,140.26715287612996,-7.447950107193761,-1.3567284488087807,56.23576810373305
2021-02-03,240,132.85258602142332,-14.846249172860576,-10.172710849885007,58.49550439515586
2021-02-04,252,141.21650127834744,-6.466949019290938,-1.6531848563372336,57.22607612219113
2021-02-05,204,142.5958168029785,-5.071445878306502,-1.6407273860015863,57.59439610406632
2021-02-06,249,139.50678851882137,-8.144105551521946,-2.600915710315917,49.98336975028364
2021-02-07,234,135.09194944984893,-12.542823457742385,-7.496280942090536,57.872928254353965
2021-02-08,232,142.06073750463025,-5.557635019959274,-2.903812752686676,52.50272791030664
2021-02-09,254,134.2551878561185,-13.346946679863946,-10.399218059611243,67.07931807052168
2021-02-10,264,161.3700169881185,13.783324749684565,16.405811163271693,49.849062992580166
2021-02-11,143,131.86449326735274,-15.705191799481515,-9.706974483995424,55.22894506759833
2021-02-12,222,129.35644791061813,-18.197464229589837,-7.738920408612188,54.608524976952715
2021-02-13,224,139.09859080995832,-8.439721581638597,-5.430039249129052,55.863384946179764
2021-02-14,192,131.0565266450246,-16.465976235153544,-6.393350305488141,58.35562958127236
